MeanIntensity	MassDisplacement
0.019176749	0.543546482
0.012711292	0.210750052
0.015872034	0.18787513
0.013560565	0.199079804
0.017852475	1.06542706
0.015266107	0.45962055
0.014608921	0.278723153
0.017843138	0.60217586
0.01531951	0.18708575
0.013165267	0.242225827
0.018104967	0.290159113
0.016209151	0.130182622
0.019837026	0.202345076
0.014583334	0.085548354
0.013738829	0.419390541
0.02437687	0.507061117
0.015520575	0.054982526
0.012352942	0.244932986
0.017209942	0.406291832
0.014225298	0.186079625
0.017738259	0.730437203
0.021631879	0.326772252
0.013415893	0.546622884
0.014912632	0.458976677
0.018018019	0.553717352
0.013496732	0.303863302
0.015306768	0.599611901
0.015374332	0.488149914
0.015556993	0.057306602
0.014989107	0.318057244
0.014204794	0.280807422
0.016962341	0.07191279
0.014349377	0.164382518
0.021989049	1.646858235
0.023292936	1.045357947
0.01736884	0.320594812
0.014388914	0.194175028
0.017647059	1.244471421
0.015096906	1.098471099
0.013423832	0.084340855
0.022887087	0.551603252
0.016671594	1.009051352
0.016454417	0.247684882
0.021150218	2.16932168
0.015686275	0.807624312
0.013014706	0.297513411
0.014241487	0.183238172
0.01502451	0.505564669
0.014720091	0.279133514
0.020171163	0.433595821
0.014912513	0.42154028
0.017615177	0.619720721
0.014136434	0.056072055
0.014075252	0.017549445
0.01574684	0.476519572
0.015012874	0.413722935
0.013917724	0.252227274
0.012605042	0.133549514
0.023227049	0.905015069
0.014854427	0.389907998
0.01633987	0.355330894
0.016386084	1.130527012
0.013507626	0.181157428
0.014896108	0.209571558
0.013843352	0.059714377
0.016948389	0.164429568
0.015280596	0.213439238
0.01453797	0.285657504
0.016195937	0.180333673
0.013895322	0.887716989
0.027553689	0.711090466
0.023831822	0.55428498
0.018590032	0.305399849
0.019677872	0.912456607
0.01740869	0.425374061
0.012605042	0.174664163
0.016786715	0.522333041
0.013791958	0.118445935
0.029740069	0.692882981
0.016718267	0.112319899
0.015155229	0.165480346
0.015194417	0.25242898
0.038268399	0.500930192
0.016719661	1.648470926
0.018011114	0.875444087
